id,classic_jungian,classic_jungian_total_voted
31023,IS(T),2
25299,EN(T),1
6611,ES(F),1
87393,IF(S),1
23258,IT(S),1
71677,ET(N),2
159126,IF(S),1
474258,IT(S),1
449,ES(T),124
70,EF(N),62
2304,EF(S),33
330,IT(N),25
312,ES(F),14
71,ES(F),10
343,IN(F),14
345,IS(T),16
315,ET(N),13
321,ES(T),12
74,EF(S),25
72,ES(F),7
75,IS(F),8
311,ES(T),9
77,IS(T),8
73,IS(F),2
319,ET(S),3
344,IN(T),4
339,ES(T),5
313,ET(N),3
314,ET(S),1
342,IT(N),3
317,IS(T),5
340,IN(T),3
328,IF(S),7
76,EF(S),2
335,IN(T),1
316,IT(S),1
341,ES(T),2
336,IN(T),1
329,ET(S),1
338,IF(N),1
322,EF(S),3
337,ES(T),2
10291,EF(N),57
608,IF(N),33
288397,ET(N),146
155318,EF(S),54
43014,ES(F),21
965,IS(F),31
16722,IF(N),23
970,EN(F),18
151,EN(T),16
97,EF(S),13
14643,ES(F),21
20191,EF(N),9
108,ET(N),28
3820,IT(N),26
43105,ET(N),11
19314,IS(F),10
1740,IT(S),11
1001,ES(T),33
1861,EF(S),20
1006,ES(F),12
1746,IF(S),15
9726,IN(F),15
96,ES(T),46
10686,EF(N),11
567786,IS(F),33
971,EF(N),11
978,EN(F),12
52937,EF(S),21
20289,IN(F),10
923,EF(N),4
52942,IF(S),11
16694,EN(T),6
135,ET(S),20
6473,IN(F),31
27346,IF(N),6
4778,IN(F),20
3226,IF(S),3
969,IN(F),7
463,IT(S),4
1048,IF(S),11
16990,EN(F),3
9260,IF(N),4
452,EN(F),11
130,EF(S),3
29749,EF(N),9
3821,ES(F),5
988,EF(S),7
1370,IT(N),8
16085,EN(F),2
13807,IT(S),8
8841,ES(F),5
3110,EN(F),6
22723,EN(F),10
1755,IN(T),11
17508,IF(N),7
980,EF(S),5
24993,IT(S),12
11070,EN(F),9
434,IS(T),9
23910,EN(F),3
589,EN(T),11
461,IT(S),4
35388,ES(T),5
20202,EN(F),9
9737,ES(F),3
20266,IF(S),7
16157,ES(F),5
25515,IF(N),2
42879,EN(F),4
16695,IS(F),1
1042,EN(F),5
2712,EF(N),4
779,ES(T),9
16123,EN(F),6
922,EN(F),2
1745,ES(F),5
19921,EN(F),1
12439,EF(N),3
1017,IN(T),6
1766,IS(T),6
2529,ET(N),4
3550,IT(S),4
6935,EN(T),3
16125,EN(F),3
29442,ES(T),3
