index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
113369,376,0,I,S,T,J,,44
113370,31023,0,I,S,T,P,,35
113371,25299,0,E,N,T,P,,42
113372,40744,0,I,N,T,P,,31
113373,6611,0,E,S,T,P,,26
113374,87393,0,I,S,F,P,,55
113375,377,0,E,S,T,P,,23
113376,10139,0,E,S,T,P,,20
113377,378,0,I,S,T,P,,16
113378,10143,0,E,S,T,P,,14
113379,10141,0,I,S,T,P,,15
113380,65862,0,I,S,T,P,,13
113381,5368,0,I,S,T,J,,15
113382,23258,0,I,S,T,P,,14
113383,380,0,E,S,T,J,,11
113384,18527,0,E,S,F,P,,11
113385,5369,0,E,S,F,J,,11
113386,18408,0,E,S,T,P,,9
113387,18524,0,I,S,T,P,,10
113388,57006,0,E,S,F,P,,11
113389,65824,0,E,N,T,J,,10
113390,379,0,I,S,T,J,,9
113391,20047,0,I,S,F,J,,9
113392,62004,0,I,S,T,P,,11
113393,63322,0,E,N,F,P,,9
113394,65849,0,I,S,T,P,,10
113395,18526,0,E,S,F,P,,8
113396,64986,0,I,N,T,J,,4
113397,71677,0,I,S,F,P,,12
113398,110979,0,E,S,F,P,,10
113399,10140,0,E,N,T,J,,7
113400,18525,0,I,N,T,J,,8
113401,57637,0,E,S,F,P,,8
113402,62001,0,E,S,T,J,,7
113403,63315,0,E,N,T,P,,9
113404,64201,0,I,S,F,J,,8
113405,66120,0,E,S,F,P,,10
113406,10144,0,E,S,T,J,,6
113407,18528,0,E,S,T,P,,5
113408,18529,0,I,S,T,P,,6
113409,57107,0,E,N,T,J,,6
113410,57634,0,I,S,T,P,,6
113411,62003,0,I,S,F,P,,6
113412,62018,0,E,N,F,P,,8
113413,63695,0,I,S,F,P,,6
113414,70284,0,I,S,F,P,,6
113415,70965,0,I,S,T,J,,5
113416,72832,0,E,S,F,P,,6
113417,73860,0,I,S,F,P,,6
113418,95998,0,I,S,F,J,,6
113419,10142,0,I,S,T,P,,5
113420,65939,0,E,S,T,P,,6
113421,67805,0,I,S,F,J,,6
113422,70279,0,E,S,F,P,,6
113423,71079,0,E,S,F,P,,5
113424,96166,0,E,S,F,P,,5
113425,110967,0,I,S,T,P,,5
113426,111888,0,I,S,F,P,,5
113427,434727,0,E,N,T,P,,5
113428,57004,0,I,S,T,P,,4
113429,57357,0,E,S,T,J,,4
113430,64835,0,E,S,T,J,,4
113431,64987,0,E,S,T,P,,4
113432,65044,0,I,S,T,P,,4
113433,65850,0,E,S,T,P,,4
113434,70983,0,I,S,T,P,,4
113435,71078,0,E,S,T,J,,5
113436,73151,0,E,S,T,J,,4
113437,74339,0,E,S,T,J,,4
113438,93199,0,I,S,F,P,,4
113439,107332,0,I,S,T,J,,4
113440,108682,0,E,N,F,J,,4
113441,115830,0,I,N,T,P,,5
113442,166957,0,E,S,F,P,,4
113443,172449,0,E,S,T,P,,5
113444,206718,0,E,N,F,J,,4
113445,415493,0,E,S,T,P,,4
113446,8845,0,E,S,F,J,,3
113447,57106,0,E,S,F,P,,4
113448,61999,0,E,S,T,J,,3
113449,62006,0,E,S,F,P,,3
113450,62019,0,I,S,T,J,,3
113451,62399,0,E,S,T,P,,3
113452,63320,0,E,S,F,P,,3
113453,63437,0,I,S,F,P,,4
113454,63443,0,I,S,F,J,,5
113455,64926,0,I,S,T,J,,3
113456,64927,0,E,S,T,J,,3
113457,68357,0,I,S,F,P,,4
113458,68547,0,E,S,F,J,,3
113459,68966,0,I,S,F,P,,3
113460,70911,0,E,S,T,P,,3
113461,70912,0,E,S,T,J,,3
113462,70957,0,I,S,T,P,,3
113463,70958,0,E,S,T,P,,4
113464,70964,0,E,S,F,J,,3
113465,70982,0,E,N,F,P,,3
113466,71069,0,I,S,T,J,,3
113467,71840,0,E,S,F,P,,3
113468,72268,0,I,S,T,J,,3
113469,73142,0,E,S,F,P,,3
113470,73216,0,E,S,T,J,,3
113471,73323,0,E,S,T,J,,3
113472,74293,0,I,S,T,J,,3
113473,74342,0,E,S,F,P,,3
113474,77283,0,E,S,F,J,,3
113475,77326,0,E,S,F,J,,3
113476,78204,0,E,S,F,P,,3
113477,96164,0,E,S,T,J,,4
113478,98015,0,I,S,F,P,,3
113479,109329,0,I,N,F,P,,3
113480,113715,0,I,S,F,P,,3
113481,122440,0,I,S,F,P,,4
113482,127444,0,E,S,F,P,,3
113483,154785,0,I,N,T,P,,3
113484,155755,0,I,S,F,P,,3
113485,155880,0,E,S,F,P,,1
113486,156015,0,I,S,T,J,,3
113487,158505,0,E,S,F,P,,3
113488,162793,0,I,S,T,P,,3
113489,164838,0,I,S,T,J,,2
113490,169851,0,I,S,F,J,,3
113491,171538,0,I,S,F,J,,2
113492,174186,0,I,N,F,P,,3
113493,175820,0,I,S,F,P,,3
113494,180225,0,I,S,T,P,,3
113495,194316,0,E,S,F,P,,3
113496,208020,0,I,S,F,P,,3
113497,224380,0,I,N,F,P,,4
