index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
183807,376,2,3,1,6,,,3
183808,31023,2,1,5,3,,,10
183809,25299,2,8,5,4,,,13
183810,40744,2,3,5,8,,,5
183811,6611,2,8,7,3,,,3
183812,87393,2,9,6,3,,,13
183813,377,2,3,8,7,,,3
183814,10139,2,8,6,3,,,3
183815,378,2,8,3,6,,,5
183816,10143,2,8,3,7,,,4
183817,10141,2,7,8,3,,,4
183818,65862,2,5,3,8,,,1
183819,5368,2,6,3,1,,,2
183820,23258,2,1,3,5,,,3
183821,380,2,3,8,6,,,2
183822,18527,2,7,8,3,,,1
183823,5369,2,2,1,7,,,3
183824,18408,2,6,8,3,,,1
183825,18524,2,8,3,5,,,1
183826,57006,2,7,3,1,,,1
183827,65824,2,8,5,3,,,2
183828,20047,2,3,9,6,,,2
183829,62004,2,8,6,3,,,2
183830,63322,2,6,3,9,,,1
183831,18526,2,7,3,9,,,1
183832,71677,2,3,7,8,,,5
183833,110979,2,7,2,9,,,2
183834,10140,2,8,3,6,,,1
183835,57637,2,8,7,4,,,1
183836,62001,2,8,3,6,,,2
183837,63315,2,8,5,3,,,3
183838,64201,2,9,6,3,,,2
183839,66120,2,3,8,7,,,3
183840,10144,2,6,8,3,,,1
183841,18528,2,8,3,7,,,2
183842,18529,2,6,3,1,,,1
183843,57107,2,8,3,7,,,2
183844,57634,2,9,5,3,,,1
183845,62003,2,9,3,7,,,2
183846,62018,2,7,3,8,,,1
183847,63695,2,3,7,9,,,1
183848,70284,2,9,4,6,,,1
183849,70965,2,8,3,7,,,1
183850,72832,2,7,4,8,,,2
183851,73860,2,9,6,4,,,2
183852,95998,2,1,2,6,,,2
183853,10142,2,9,6,3,,,1
183854,65939,2,7,3,8,,,2
183855,70279,2,4,9,6,,,1
183856,71079,2,3,7,9,,,1
183857,110967,2,1,5,4,,,1
183858,57004,2,9,4,6,,,1
183859,57357,2,8,3,5,,,1
183860,64835,2,8,3,6,,,2
183861,64987,2,8,3,6,,,1
183862,65044,2,6,8,3,,,1
183863,65850,2,8,3,7,,,2
183864,70983,2,9,6,4,,,1
183865,71078,2,3,8,6,,,1
183866,73151,2,6,8,3,,,1
183867,74339,2,8,3,6,,,1
183868,107332,2,6,9,2,,,2
183869,115830,2,5,1,4,,,1
183870,166957,2,2,9,6,,,1
183871,172449,2,4,7,1,,,2
183872,206718,2,2,9,7,,,1
183873,415493,2,3,8,7,,,1
183874,57106,2,3,7,9,,,1
183875,61999,2,8,3,6,,,1
183876,62006,2,7,3,9,,,1
183877,62019,2,4,1,5,,,1
183878,63320,2,7,8,3,,,1
183879,63437,2,6,4,1,,,1
183880,63443,2,6,1,3,,,1
183881,64926,2,6,8,3,,,1
183882,68357,2,3,8,6,,,1
183883,68966,2,4,1,6,,,1
183884,70911,2,6,3,8,,,1
183885,70912,2,8,3,7,,,1
183886,70957,2,9,5,2,,,1
183887,70964,2,3,1,7,,,1
183888,70982,2,7,4,9,,,1
183889,71069,2,1,3,6,,,1
183890,71840,2,1,3,7,,,1
183891,72268,2,8,5,3,,,2
183892,73142,2,7,3,8,,,1
183893,73216,2,3,8,6,,,2
183894,73323,2,3,5,1,,,1
183895,74293,2,1,5,3,,,1
183896,77326,2,3,1,7,,,1
183897,78204,2,7,8,3,,,1
183898,96164,2,8,6,3,,,1
183899,98015,2,6,4,1,,,1
183900,109329,2,4,9,7,,,1
183901,113715,2,4,6,1,,,2
183902,122440,2,7,9,4,,,2
183903,127444,2,3,7,1,,,1
183904,154785,2,5,1,3,,,1
183905,155880,2,4,7,1,,,1
183906,156015,2,1,3,6,,,1
183907,164838,2,1,3,6,,,1
183908,171538,2,1,6,2,,,1
183909,174186,2,4,5,9,,,1
183910,175820,2,9,4,6,,,1
183911,180225,2,8,6,3,,,1
183912,194316,2,7,2,9,,,2
183913,208020,2,9,3,6,,,1
183914,224380,2,4,1,7,,,1
183915,18407,2,6,1,2,,,1
183916,62005,2,9,6,4,,,1
183917,62017,2,8,3,6,,,1
183918,63280,2,7,3,8,,,2
183919,64828,2,4,9,6,,,1
183920,64830,2,6,3,1,,,1
183921,64928,2,3,7,9,,,1
183922,65134,2,3,7,8,,,1
183923,65400,2,3,7,1,,,1
183924,65486,2,8,3,7,,,1
183925,65825,2,1,3,6,,,1
183926,65848,2,2,1,5,,,1
183927,66560,2,9,3,6,,,1
183928,68410,2,5,3,8,,,1
183929,68863,2,7,3,8,,,2
183930,70067,2,3,8,6,,,1
183931,70908,2,7,3,1,,,1
183932,70914,2,6,8,3,,,1
183933,70956,2,6,8,4,,,1
183934,70959,2,1,3,6,,,1
183935,71070,2,1,4,6,,,1
183936,73141,2,8,6,3,,,2
183937,73154,2,9,2,6,,,1
183938,73333,2,6,8,4,,,1
183939,73338,2,6,8,3,,,1
183940,73346,2,3,8,6,,,1
183941,73616,2,9,3,7,,,1
183942,73804,2,3,1,7,,,1
183943,73821,2,3,1,7,,,1
183944,74326,2,1,5,3,,,1
183945,74337,2,7,3,9,,,1
183946,74344,2,1,3,6,,,1
183947,74352,2,8,3,6,,,1
183948,74645,2,6,3,8,,,2
183949,75884,2,9,4,6,,,1
183950,76273,2,2,7,9,,,1
183951,77903,2,3,8,7,,,2
183952,86095,2,9,6,3,,,1
183953,98625,2,1,5,3,,,2
183954,102095,2,7,8,4,,,1
183955,105378,2,6,2,8,,,1
183956,105733,2,2,1,6,,,1
183957,111889,2,5,1,3,,,2
183958,127441,2,7,3,1,,,1
183959,129205,2,7,8,2,,,1
183960,155759,2,1,6,3,,,1
183961,158455,2,9,6,2,,,1
183962,159912,2,9,4,6,,,1
183963,163374,2,9,4,7,,,1
183964,168528,2,6,9,2,,,1
183965,172445,2,9,4,7,,,1
183966,178854,2,2,1,6,,,1
183967,181356,2,6,8,3,,,1
183968,181864,2,4,1,6,,,1
183969,182035,2,9,2,7,,,1
183970,182683,2,7,2,9,,,1
183971,184247,2,7,2,1,,,2
183972,196727,2,9,2,5,,,1
183973,200283,2,5,1,3,,,1
183974,201372,2,9,3,6,,,1
183975,208527,2,2,7,9,,,1
183976,210642,2,7,4,9,,,1
183977,212573,2,6,1,2,,,1
183978,218527,2,4,9,6,,,1
183979,220763,2,2,7,9,,,1
183980,222255,2,7,8,4,,,1
183981,223573,2,7,4,9,,,1
183982,225831,2,3,1,5,,,1
183983,232923,2,2,1,7,,,1
183984,322917,2,6,4,1,,,1
183985,361938,2,2,7,9,,,1
183986,424991,2,3,6,9,,,1
183987,765356,2,8,6,3,,,1
183988,10145,2,8,3,5,,,1
183989,57003,2,2,1,6,,,1
183990,57009,2,5,3,1,,,1
183991,62000,2,8,3,7,,,2
183992,63321,2,8,3,7,,,1
183993,64829,2,8,6,3,,,1
183994,64834,2,7,3,8,,,1
183995,65082,2,8,3,7,,,1
183996,65280,2,1,6,3,,,1
183997,65470,2,7,4,8,,,1
183998,65995,2,5,8,4,,,1
183999,66950,2,3,8,7,,,1
184000,67361,2,1,3,6,,,1
184001,67406,2,3,8,7,,,1
184002,68411,2,6,1,3,,,1
184003,70065,2,7,3,9,,,1
184004,70907,2,7,3,9,,,1
184005,70910,2,5,1,3,,,1
184006,70913,2,1,3,6,,,1
184007,70927,2,9,7,4,,,1
184008,70928,2,8,3,7,,,1
184009,70930,2,3,1,6,,,1
184010,70961,2,3,1,7,,,1
184011,70981,2,3,8,6,,,1
