index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
1,31023,3,F,L,E,V,,3
1,25299,3,V,L,E,F,,2
2,87393,3,V,F,E,L,,4
3,10143,3,V,L,F,E,,1
4,23258,3,L,V,F,E,,1
5,20047,3,E,V,F,L,,1
6,71677,3,F,V,E,L,,2
7,10140,3,V,F,L,E,,1
8,95998,3,L,V,F,E,,1
9,74339,3,V,L,F,E,,1
10,206718,3,V,E,F,L,,2
11,63320,3,V,F,L,E,,1
12,72268,3,V,L,F,E,,1
13,113715,3,L,E,F,V,,1
14,183336,3,F,E,L,V,,1
15,474258,3,L,F,V,E,,1
16,449,3,V,F,L,E,,155
17,70,3,L,V,F,E,,46
18,2304,3,E,F,V,L,,44
19,330,3,L,V,E,F,,28
20,312,3,V,E,F,L,,18
21,71,3,L,V,F,E,,17
22,343,3,L,V,F,E,,16
23,345,3,F,V,L,E,,22
24,315,3,V,F,L,E,,18
25,321,3,V,F,L,E,,19
26,74,3,F,V,L,E,,18
27,72,3,V,E,L,F,,9
28,75,3,E,F,L,V,,6
29,311,3,V,F,L,E,,7
30,77,3,L,F,V,E,,9
31,73,3,L,V,E,F,,5
32,319,3,V,L,E,F,,5
33,344,3,L,V,E,F,,7
34,339,3,V,F,L,E,,10
35,313,3,L,V,E,F,,2
36,314,3,V,F,L,E,,1
37,342,3,V,L,E,F,,4
38,317,3,F,L,E,V,,7
39,340,3,L,V,F,E,,2
40,328,3,F,E,V,L,,8
41,76,3,E,V,F,L,,1
42,335,3,V,E,F,L,,1
43,318,3,F,E,L,V,,3
44,316,3,L,F,E,V,,2
45,341,3,L,V,E,F,,1
46,323,3,V,F,E,L,,1
47,322,3,F,E,L,V,,4
48,10291,3,V,E,L,F,,61
49,608,3,E,F,L,V,,40
50,288397,3,V,L,F,E,,101
51,155318,3,E,F,V,L,,89
52,43014,3,E,F,L,V,,17
53,965,3,F,E,L,V,,27
54,16722,3,E,F,L,V,,25
55,970,3,V,E,F,L,,14
56,151,3,V,F,L,E,,15
57,97,3,F,V,L,E,,24
58,14643,3,V,F,E,L,,31
59,20191,3,L,E,V,F,,9
60,108,3,V,F,L,E,,44
61,3820,3,F,L,V,E,,25
62,43105,3,V,L,F,E,,15
63,19314,3,E,L,F,V,,15
64,1740,3,F,L,V,E,,19
65,1001,3,V,L,E,F,,27
66,1861,3,F,E,V,L,,31
67,1006,3,F,E,V,L,,16
68,1746,3,F,L,E,V,,25
69,9726,3,E,V,L,F,,16
70,96,3,V,F,L,E,,26
71,10686,3,V,E,F,L,,16
72,567786,3,E,F,L,V,,15
73,971,3,E,F,V,L,,18
74,978,3,V,E,L,F,,18
75,52937,3,V,E,F,L,,18
76,20289,3,L,E,V,F,,11
77,923,3,E,F,V,L,,8
78,52942,3,F,E,V,L,,22
79,16694,3,L,V,F,E,,7
80,135,3,V,L,E,F,,23
81,6473,3,E,L,F,V,,38
82,27346,3,E,F,V,L,,12
83,4778,3,E,L,F,V,,24
84,3226,3,V,E,L,F,,4
85,969,3,L,V,F,E,,6
86,463,3,V,F,L,E,,13
87,1048,3,F,V,E,L,,15
88,16990,3,V,E,L,F,,10
89,9260,3,F,E,L,V,,3
90,452,3,E,L,F,V,,15
91,130,3,E,F,L,V,,6
92,29749,3,E,F,V,L,,16
93,3821,3,E,F,V,L,,5
94,988,3,E,F,L,V,,14
95,1370,3,L,V,E,F,,7
96,16085,3,E,V,F,L,,5
97,13807,3,F,L,E,V,,6
98,8841,3,F,E,L,V,,5
99,3110,3,E,V,L,F,,7
100,22723,3,E,F,L,V,,9
101,1755,3,F,L,E,V,,8
102,17508,3,E,F,V,L,,7
103,980,3,E,V,F,L,,8
104,24993,3,E,L,F,V,,14
105,11070,3,E,L,F,V,,8
106,434,3,F,V,L,E,,16
107,23910,3,E,L,V,F,,10
108,16717,3,F,E,V,L,,5
109,589,3,E,F,L,V,,12
110,461,3,F,E,L,V,,5
111,35388,3,V,F,E,L,,12
112,20202,3,E,F,V,L,,16
113,9737,3,F,V,L,E,,3
114,20266,3,F,E,L,V,,5
115,16157,3,V,E,L,F,,7
116,25515,3,E,F,L,V,,2
117,42879,3,E,F,L,V,,7
118,16695,3,F,E,L,V,,1
119,1042,3,L,E,F,V,,6
120,2712,3,L,E,F,V,,9
121,779,3,V,E,F,L,,2
122,16123,3,E,F,V,L,,3
123,922,3,F,E,L,V,,4
124,1745,3,E,V,L,F,,1
125,470,3,F,E,L,V,,2
126,12439,3,L,F,E,V,,4
