index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
104089,31023,5,I,S,(,T,),2
104090,25299,5,E,N,(,T,),1
104091,6611,5,E,S,(,F,),1
104092,87393,5,I,F,(,S,),1
104093,23258,5,I,T,(,S,),1
104094,71677,5,E,T,(,N,),2
104095,159126,5,I,F,(,S,),1
104096,474258,5,I,T,(,S,),1
104097,449,5,E,S,(,T,),124
104098,70,5,E,F,(,N,),62
104099,2304,5,E,F,(,S,),33
104100,330,5,I,T,(,N,),25
104101,312,5,E,S,(,F,),14
104102,71,5,E,S,(,F,),10
104103,343,5,I,N,(,F,),14
104104,345,5,I,S,(,T,),16
104105,315,5,E,T,(,N,),13
104106,321,5,E,S,(,T,),12
104107,74,5,E,F,(,S,),25
104108,72,5,E,S,(,F,),7
104109,75,5,I,S,(,F,),8
104110,311,5,E,S,(,T,),9
104111,77,5,I,S,(,T,),8
104112,73,5,I,S,(,F,),2
104113,319,5,E,T,(,S,),3
104114,344,5,I,N,(,T,),4
104115,339,5,E,S,(,T,),5
104116,313,5,E,T,(,N,),3
104117,314,5,E,T,(,S,),1
104118,342,5,I,T,(,N,),3
104119,317,5,I,S,(,T,),5
104120,340,5,I,N,(,T,),3
104121,328,5,I,F,(,S,),7
104122,76,5,E,F,(,S,),2
104123,335,5,I,N,(,T,),1
104124,316,5,I,T,(,S,),1
104125,341,5,E,S,(,T,),2
104126,336,5,I,N,(,T,),1
104127,329,5,E,T,(,S,),1
104128,338,5,I,F,(,N,),1
104129,322,5,E,F,(,S,),3
104130,337,5,E,S,(,T,),2
104131,10291,5,E,F,(,N,),57
104132,608,5,I,F,(,N,),33
104133,288397,5,E,T,(,N,),146
104134,155318,5,E,F,(,S,),54
104135,43014,5,E,S,(,F,),21
104136,965,5,I,S,(,F,),31
104137,16722,5,I,F,(,N,),23
104138,970,5,E,N,(,F,),18
104139,151,5,E,N,(,T,),16
104140,97,5,E,F,(,S,),13
104141,14643,5,E,S,(,F,),21
104142,20191,5,E,F,(,N,),9
104143,108,5,E,T,(,N,),28
104144,3820,5,I,T,(,N,),26
104145,43105,5,E,T,(,N,),11
104146,19314,5,I,S,(,F,),10
104147,1740,5,I,T,(,S,),11
104148,1001,5,E,S,(,T,),33
104149,1861,5,E,F,(,S,),20
104150,1006,5,E,S,(,F,),12
104151,1746,5,I,F,(,S,),15
104152,9726,5,I,N,(,F,),15
104153,96,5,E,S,(,T,),46
104154,10686,5,E,F,(,N,),11
104155,567786,5,I,S,(,F,),33
104156,971,5,E,F,(,N,),11
104157,978,5,E,N,(,F,),12
104158,52937,5,E,F,(,S,),21
104159,20289,5,I,N,(,F,),10
104160,923,5,E,F,(,N,),4
104161,52942,5,I,F,(,S,),11
104162,16694,5,E,N,(,T,),6
104163,135,5,E,T,(,S,),20
104164,6473,5,I,N,(,F,),31
104165,27346,5,I,F,(,N,),6
104166,4778,5,I,N,(,F,),20
104167,3226,5,I,F,(,S,),3
104168,969,5,I,N,(,F,),7
104169,463,5,I,T,(,S,),4
104170,1048,5,I,F,(,S,),11
104171,16990,5,E,N,(,F,),3
104172,9260,5,I,F,(,N,),4
104173,452,5,E,N,(,F,),11
104174,130,5,E,F,(,S,),3
104175,29749,5,E,F,(,N,),9
104176,3821,5,E,S,(,F,),5
104177,988,5,E,F,(,S,),7
104178,1370,5,I,T,(,N,),8
104179,16085,5,E,N,(,F,),2
104180,13807,5,I,T,(,S,),8
104181,8841,5,E,S,(,F,),5
104182,3110,5,E,N,(,F,),6
104183,22723,5,E,N,(,F,),10
104184,1755,5,I,N,(,T,),11
104185,17508,5,I,F,(,N,),7
104186,980,5,E,F,(,S,),5
104187,24993,5,I,T,(,S,),12
104188,11070,5,E,N,(,F,),9
104189,434,5,I,S,(,T,),9
104190,23910,5,E,N,(,F,),3
104191,589,5,E,N,(,T,),11
104192,461,5,I,T,(,S,),4
104193,35388,5,E,S,(,T,),5
104194,20202,5,E,N,(,F,),9
104195,9737,5,E,S,(,F,),3
104196,20266,5,I,F,(,S,),7
104197,16157,5,E,S,(,F,),5
104198,25515,5,I,F,(,N,),2
104199,42879,5,E,N,(,F,),4
104200,16695,5,I,S,(,F,),1
104201,1042,5,E,N,(,F,),5
104202,2712,5,E,F,(,N,),4
104203,779,5,E,S,(,T,),9
104204,16123,5,E,N,(,F,),6
104205,922,5,E,N,(,F,),2
104206,1745,5,E,S,(,F,),5
104207,19921,5,E,N,(,F,),1
104208,12439,5,E,F,(,N,),3
104209,1017,5,I,N,(,T,),6
104210,1766,5,I,S,(,T,),6
104211,2529,5,E,T,(,N,),4
104212,3550,5,I,T,(,S,),4
