index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
164159,376,6,L,S,E,,,4
164160,31023,6,L,S,I,,,10
164161,25299,6,I,L,E,,,8
164162,40744,6,I,L,I,,,1
164163,6611,6,S,L,E,,,6
164164,87393,6,S,E,I,,,7
164165,377,6,S,E,E,,,1
164166,10139,6,S,L,E,,,2
164167,378,6,S,L,E,,,1
164168,10143,6,S,E,E,,,3
164169,10141,6,S,L,E,,,4
164170,65862,6,I,L,I,,,2
164171,5368,6,E,S,I,,,2
164172,23258,6,L,S,I,,,3
164173,380,6,S,L,E,,,1
164174,18527,6,S,E,E,,,1
164175,5369,6,E,S,E,,,3
164176,18408,6,S,L,E,,,2
164177,18524,6,L,S,I,,,1
164178,57006,6,S,E,E,,,1
164179,65824,6,S,L,E,,,1
164180,20047,6,S,E,I,,,3
164181,62004,6,L,S,I,,,1
164182,63322,6,I,E,E,,,1
164183,65849,6,S,L,E,,,3
164184,18526,6,S,E,E,,,1
164185,64986,6,L,S,I,,,1
164186,71677,6,E,S,I,,,5
164187,10140,6,S,L,E,,,3
164188,18525,6,I,L,I,,,1
164189,57637,6,S,E,E,,,2
164190,62001,6,S,L,E,,,4
164191,63315,6,S,L,E,,,2
164192,66120,6,S,E,E,,,1
164193,18528,6,S,L,E,,,2
164194,18529,6,L,S,I,,,1
164195,57107,6,S,L,E,,,1
164196,57634,6,S,L,I,,,1
164197,62003,6,S,E,I,,,1
164198,62018,6,S,E,E,,,1
164199,63695,6,E,S,I,,,2
164200,70284,6,E,S,I,,,1
164201,72832,6,S,E,E,,,2
164202,73860,6,S,E,I,,,2
164203,67805,6,S,E,I,,,1
164204,70279,6,S,E,E,,,2
164205,71079,6,S,E,E,,,1
164206,96166,6,S,E,E,,,1
164207,110967,6,L,S,I,,,1
164208,57004,6,S,L,I,,,1
164209,64835,6,S,L,E,,,1
164210,64987,6,S,L,E,,,2
164211,65044,6,L,S,I,,,2
164212,65850,6,S,L,E,,,2
164213,71078,6,L,S,E,,,2
164214,73151,6,L,S,E,,,1
164215,74339,6,S,L,E,,,1
164216,107332,6,S,L,I,,,1
164217,108682,6,E,I,E,,,2
164218,115830,6,L,I,I,,,1
164219,166957,6,E,S,E,,,1
164220,415493,6,S,E,E,,,1
164221,57106,6,S,E,E,,,1
164222,61999,6,S,L,E,,,1
164223,62006,6,S,E,E,,,1
164224,62019,6,S,L,I,,,1
164225,63320,6,S,E,E,,,2
164226,63437,6,E,S,I,,,1
164227,68357,6,E,S,I,,,1
164228,68547,6,E,S,E,,,1
164229,68966,6,E,S,I,,,1
164230,70911,6,S,L,E,,,1
164231,70912,6,S,L,E,,,1
164232,70958,6,S,L,E,,,1
164233,70964,6,E,S,E,,,1
164234,70982,6,I,E,E,,,1
164235,71840,6,S,E,E,,,1
164236,72268,6,L,S,I,,,1
164237,73142,6,S,E,E,,,1
164238,73216,6,S,E,E,,,2
164239,73323,6,L,S,E,,,2
164240,74293,6,L,S,I,,,2
164241,77326,6,E,S,E,,,1
164242,78204,6,S,E,E,,,2
