index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
69762,376,7,s,o,/,s,p,6
69763,31023,7,s,p,/,s,x,9
69764,25299,7,s,x,/,s,p,9
69765,40744,7,s,p,/,s,x,3
69766,6611,7,s,o,/,s,x,3
69767,87393,7,s,p,/,s,o,10
69768,377,7,s,o,/,s,x,2
69769,10139,7,s,p,/,s,x,2
69770,378,7,s,p,/,s,x,5
69771,10143,7,s,x,/,s,o,3
69772,10141,7,s,p,/,s,x,2
69773,65862,7,s,p,/,s,x,1
69774,5368,7,s,p,/,s,o,2
69775,23258,7,s,p,/,s,o,3
69776,380,7,s,x,/,s,o,1
69777,18527,7,s,x,/,s,o,1
69778,5369,7,s,p,/,s,o,2
69779,18408,7,s,x,/,s,o,1
69780,18524,7,s,x,/,s,p,1
69781,57006,7,s,x,/,s,o,1
69782,65824,7,s,p,/,s,x,3
69783,20047,7,s,p,/,s,o,3
69784,62004,7,s,x,/,s,o,2
69785,63322,7,s,o,/,s,x,1
69786,65849,7,s,x,/,s,p,1
69787,18526,7,s,o,/,s,x,1
69788,64986,7,s,p,/,s,x,1
69789,71677,7,s,p,/,s,x,3
69790,110979,7,s,x,/,s,o,2
69791,10140,7,s,p,/,s,o,3
69792,18525,7,s,p,/,s,o,1
69793,57637,7,s,p,/,s,x,2
69794,62001,7,s,p,/,s,o,3
69795,63315,7,s,p,/,s,o,4
69796,64201,7,s,o,/,s,p,2
69797,66120,7,s,x,/,s,o,2
69798,10144,7,s,p,/,s,x,2
69799,18528,7,s,x,/,s,o,2
69800,18529,7,s,p,/,s,o,1
69801,57107,7,s,x,/,s,o,2
69802,57634,7,s,p,/,s,x,1
69803,62003,7,s,o,/,s,p,2
69804,62018,7,s,x,/,s,o,1
69805,63695,7,s,p,/,s,o,1
69806,70284,7,s,x,/,s,p,1
69807,70965,7,s,p,/,s,x,2
69808,72832,7,s,x,/,s,o,1
69809,73860,7,s,x,/,s,p,3
69810,95998,7,s,p,/,s,o,2
69811,10142,7,s,p,/,s,x,1
69812,65939,7,s,o,/,s,p,2
69813,67805,7,s,p,/,s,o,1
69814,70279,7,s,p,/,s,o,2
69815,71079,7,s,p,/,s,o,1
69816,434727,7,s,x,/,s,o,1
69817,57004,7,s,p,/,s,x,1
69818,57357,7,s,p,/,s,x,1
69819,64835,7,s,x,/,s,o,2
69820,64987,7,s,o,/,s,p,2
