index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
207984,376,8,C,h,l,e,g,2
207985,31023,8,P,h,o,m,i,6
207986,25299,8,S,a,o,l,e,10
207987,40744,8,P,h,o,m,i,5
207988,6611,8,C,h,n,g,u,3
207989,87393,8,P,h,n,g,u,7
207990,377,8,S,a,o,l,e,2
207991,10139,8,C,h,o,m,i,3
207992,378,8,C,h,l,e,g,2
207993,10143,8,C,h,n,g,u,2
207994,10141,8,S,a,l,e,g,1
207995,65862,8,M,e,l,e,g,1
207996,23258,8,P,h,o,m,i,1
207997,380,8,C,h,o,m,i,1
207998,18527,8,S,a,o,l,e,1
207999,57006,8,S,a,l,a,n,2
208000,20047,8,S,a,o,m,i,2
208001,62004,8,C,h,l,a,n,2
208002,63322,8,S,a,l,a,n,1
208003,65849,8,C,h,o,m,i,1
208004,71677,8,C,h,l,e,g,2
208005,110979,8,S,a,o,m,i,2
208006,10140,8,C,h,o,m,i,1
208007,63315,8,C,h,l,e,g,4
208008,64201,8,S,a,o,l,e,1
208009,66120,8,C,h,o,m,i,1
208010,10144,8,C,h,o,m,i,2
208011,18528,8,C,h,n,g,u,2
208012,57107,8,C,h,o,m,i,1
208013,57634,8,P,h,o,l,e,1
208014,62003,8,S,a,l,e,g,2
208015,63695,8,S,a,l,a,n,1
208016,70965,8,C,h,n,g,u,1
208017,72832,8,S,a,o,l,e,1
208018,73860,8,M,e,l,e,g,1
208019,95998,8,P,h,l,a,n,1
208020,70279,8,S,a,o,m,i,1
208021,57004,8,P,h,l,a,n,1
208022,57357,8,C,h,l,e,g,1
208023,64835,8,C,h,n,g,u,1
208024,74339,8,C,h,o,m,i,1
208025,115830,8,P,h,l,a,n,1
208026,206718,8,S,a,l,e,g,2
208027,415493,8,C,h,n,g,u,1
208028,57106,8,S,a,o,m,i,1
208029,61999,8,C,h,o,m,i,2
208030,63320,8,S,a,o,l,e,1
208031,63437,8,M,e,o,m,i,1
208032,64926,8,C,h,o,m,i,1
208033,70912,8,C,h,n,g,u,1
208034,70982,8,S,a,l,a,n,1
208035,71840,8,C,h,n,g,u,1
208036,72268,8,C,h,l,e,g,2
208037,74293,8,P,h,o,m,i,1
208038,77326,8,S,a,l,e,g,1
208039,96164,8,C,h,o,m,i,1
208040,109329,8,M,e,n,g,u,1
208041,113715,8,P,h,n,g,u,1
208042,122440,8,M,e,n,g,u,1
208043,164838,8,C,h,o,m,i,1
208044,174186,8,P,h,o,m,i,1
208045,194316,8,S,a,o,m,i,1
208046,62005,8,P,h,l,a,n,1
208047,62017,8,C,h,l,e,g,1
208048,63280,8,S,a,o,m,i,1
208049,63281,8,P,h,n,g,u,1
208050,64828,8,M,e,n,g,u,1
208051,65486,8,C,h,n,g,u,1
208052,65848,8,M,e,l,e,g,1
208053,66560,8,M,e,l,e,g,1
208054,70067,8,C,h,o,m,i,1
208055,70908,8,S,a,l,e,g,1
208056,73141,8,C,h,l,a,n,2
208057,73154,8,M,e,n,g,u,1
208058,73616,8,S,a,o,m,i,1
208059,74337,8,S,a,o,m,i,1
208060,74344,8,P,h,o,m,i,1
208061,74645,8,C,h,o,m,i,2
208062,77903,8,C,h,l,e,g,1
208063,105733,8,S,a,l,a,n,1
208064,183336,8,S,a,o,m,i,1
208065,222255,8,S,a,o,l,e,1
208066,765356,8,C,h,o,m,i,1
208067,62000,8,C,h,o,m,i,2
208068,63321,8,C,h,l,e,g,1
208069,65082,8,C,h,l,e,g,1
208070,65470,8,S,a,o,l,e,1
208071,65995,8,P,h,o,m,i,1
208072,70907,8,S,a,o,m,i,1
208073,73278,8,P,h,l,a,n,1
208074,87593,8,S,a,l,a,n,1
208075,96132,8,P,h,o,l,e,1
208076,99115,8,S,a,o,l,e,1
208077,120997,8,M,e,l,e,g,1
208078,155768,8,S,a,o,m,i,1
208079,155772,8,S,a,o,m,i,1
208080,156440,8,P,h,o,m,i,1
208081,172450,8,S,a,o,m,i,1
208082,183679,8,P,h,l,a,n,1
208083,210928,8,P,h,l,a,n,1
208084,224367,8,M,e,o,l,e,1
208085,224390,8,C,h,l,a,n,1
208086,224499,8,P,h,l,a,n,1
208087,224813,8,P,h,o,m,i,1
208088,225045,8,S,a,o,l,e,1
208089,227305,8,S,a,l,a,n,1
208090,229984,8,P,h,l,a,n,1
208091,230004,8,P,h,o,l,e,1
208092,474258,8,P,h,l,a,n,1
208093,449,8,C,h,o,m,i,453
208094,70,8,P,h,n,g,u,147
208095,2304,8,C,h,n,g,u,111
208096,330,8,P,h,o,m,i,104
208097,312,8,S,a,o,m,i,46
208098,71,8,S,a,o,m,i,35
208099,343,8,P,h,o,m,i,30
208100,345,8,P,h,o,m,i,40
208101,315,8,C,h,l,e,g,30
208102,321,8,C,h,n,g,u,40
208103,74,8,S,a,o,l,e,37
208104,72,8,S,a,o,m,i,36
208105,75,8,M,e,l,e,g,18
208106,311,8,C,h,l,a,n,20
208107,77,8,C,h,l,a,n,27
208108,73,8,M,e,o,m,i,8
208109,319,8,C,h,l,e,g,11
208110,344,8,C,h,l,a,n,23
208111,339,8,C,h,o,m,i,16
208112,313,8,M,e,o,l,e,8
208113,314,8,C,h,o,m,i,10
208114,342,8,M,e,o,m,i,14
208115,317,8,M,e,l,e,g,13
208116,340,8,P,h,o,l,e,8
208117,328,8,M,e,o,l,e,15
208118,76,8,P,h,o,m,i,5
208119,335,8,C,h,l,e,g,6
208120,318,8,S,a,o,m,i,4
208121,316,8,M,e,o,m,i,3
208122,320,8,M,e,l,e,g,6
208123,341,8,M,e,o,l,e,3
208124,336,8,M,e,l,e,g,4
208125,329,8,C,h,o,m,i,5
208126,323,8,C,h,o,m,i,7
208127,326,8,C,h,l,e,g,4
208128,338,8,P,h,o,m,i,3
208129,331,8,P,h,o,m,i,2
208130,334,8,P,h,l,a,n,4
208131,327,8,M,e,o,l,e,4
208132,322,8,P,h,o,l,e,6
208133,324,8,M,e,o,l,e,2
208134,337,8,C,h,o,m,i,5
208135,325,8,P,h,l,a,n,2
208136,332,8,M,e,l,e,g,3
208137,333,8,P,h,o,m,i,2
208138,10291,8,S,a,o,l,e,230
208139,608,8,M,e,n,g,u,126
208140,288397,8,M,e,n,g,u,167
208141,155318,8,S,a,l,a,n,171
208142,43014,8,S,a,o,m,i,72
208143,965,8,P,h,o,m,i,77
208144,16722,8,P,h,n,g,u,99
208145,970,8,S,a,o,m,i,65
208146,151,8,P,h,o,l,e,49
208147,97,8,S,a,o,m,i,88
208148,14643,8,C,h,o,m,i,120
208149,20191,8,C,h,o,m,i,26
208150,108,8,C,h,o,m,i,82
208151,3820,8,P,h,n,g,u,50
208152,43105,8,C,h,o,m,i,53
208153,19314,8,P,h,n,g,u,76
208154,1740,8,P,h,l,a,n,71
208155,1001,8,C,h,l,a,n,90
208156,1861,8,S,a,o,l,e,75
208157,1006,8,S,a,l,a,n,51
208158,1746,8,P,h,o,l,e,66
208159,9726,8,M,e,l,e,g,53
208160,96,8,C,h,o,m,i,66
208161,10686,8,P,h,o,l,e,51
208162,567786,8,M,e,n,g,u,53
208163,971,8,S,a,o,m,i,58
208164,978,8,S,a,l,a,n,56
208165,52937,8,S,a,o,m,i,56
208166,20289,8,M,e,l,e,g,45
208167,923,8,S,a,o,m,i,32
208168,52942,8,P,h,o,m,i,73
208169,16694,8,M,e,n,g,u,42
208170,135,8,M,e,o,m,i,56
208171,6473,8,M,e,o,m,i,81
208172,27346,8,P,h,n,g,u,45
208173,4778,8,M,e,l,e,g,50
208174,3226,8,S,a,o,m,i,34
208175,969,8,P,h,l,a,n,26
208176,463,8,P,h,n,g,u,40
208177,1048,8,P,h,n,g,u,31
208178,16990,8,S,a,o,l,e,28
208179,9260,8,P,h,l,a,n,49
208180,452,8,M,e,l,e,g,49
208181,130,8,C,h,o,m,i,20
208182,29749,8,M,e,n,g,u,48
208183,3821,8,S,a,o,m,i,35
208184,988,8,M,e,n,g,u,43
208185,1370,8,M,e,o,m,i,33
208186,16085,8,S,a,o,m,i,33
208187,13807,8,P,h,n,g,u,24
208188,8841,8,S,a,o,m,i,24
208189,3110,8,S,a,l,e,g,29
208190,22723,8,S,a,l,a,n,34
208191,1755,8,P,h,o,m,i,30
208192,17508,8,M,e,n,g,u,31
208193,980,8,S,a,l,a,n,15
208194,24993,8,M,e,n,g,u,27
208195,11070,8,S,a,l,e,g,26
208196,434,8,P,h,o,l,e,32
208197,23910,8,S,a,o,m,i,45
208198,16717,8,M,e,o,m,i,29
208199,589,8,S,a,o,m,i,16
208200,461,8,M,e,o,m,i,16
208201,35388,8,S,a,o,l,e,36
208202,20202,8,S,a,l,a,n,28
208203,9737,8,S,a,o,m,i,15
208204,20266,8,P,h,o,m,i,27
208205,16157,8,S,a,o,m,i,14
208206,25515,8,S,a,l,e,g,17
208207,42879,8,S,a,l,e,g,26
208208,16695,8,M,e,l,e,g,17
208209,1042,8,S,a,l,e,g,16
208210,2712,8,P,h,n,g,u,9
208211,779,8,C,h,o,m,i,14
208212,16123,8,P,h,n,g,u,17
208213,922,8,P,h,o,m,i,32
208214,1745,8,S,a,o,l,e,22
208215,19921,8,S,a,l,a,n,5
208216,470,8,P,h,n,g,u,15
208217,12439,8,S,a,l,e,g,19
208218,1017,8,M,e,o,l,e,25
208219,1766,8,M,e,o,l,e,28
208220,2529,8,P,h,n,g,u,11
208221,3550,8,M,e,o,m,i,22
208222,6935,8,S,a,l,e,g,18
208223,16125,8,S,a,l,e,g,12
208224,29442,8,P,h,n,g,u,23
208225,25330,8,C,h,o,m,i,36
208226,8618,8,S,a,o,m,i,18
208227,28470,8,M,e,o,l,e,28
208228,610,8,S,a,o,m,i,24
208229,8005,8,P,h,n,g,u,17
208230,16149,8,S,a,l,e,g,14
208231,1035,8,P,h,l,a,n,7
208232,960,8,S,a,l,a,n,28
208233,4170,8,M,e,l,e,g,18
208234,2704,8,S,a,o,l,e,22
208235,10455,8,S,a,o,m,i,20
208236,11599,8,S,a,o,m,i,20
208237,6491,8,S,a,o,l,e,13
208238,8620,8,P,h,o,l,e,25
208239,1371,8,P,h,o,m,i,13
208240,20366,8,M,e,n,g,u,22
208241,21187,8,S,a,o,m,i,22
208242,133,8,C,h,l,a,n,16
208243,5941,8,S,a,o,m,i,16
208244,1028,8,S,a,o,l,e,20
208245,4945,8,S,a,o,m,i,16
208246,39109,8,M,e,l,e,g,14
208247,25479,8,C,h,o,m,i,19
208248,8847,8,C,h,l,e,g,11
208249,42827,8,S,a,l,a,n,32
208250,967,8,P,h,n,g,u,13
208251,136,8,S,a,o,m,i,7
208252,13086,8,P,h,l,a,n,18
208253,16693,8,S,a,o,m,i,16
208254,2099,8,S,a,o,l,e,13
208255,10867,8,P,h,n,g,u,11
208256,9852,8,M,e,l,e,g,11
208257,127219,8,S,a,l,a,n,21
208258,1026,8,S,a,o,l,e,7
208259,3135,8,P,h,o,l,e,15
208260,11033,8,S,a,l,e,g,6
208261,16710,8,S,a,o,m,i,15
208262,1054,8,P,h,n,g,u,10
208263,12473,8,P,h,n,g,u,10
208264,1052,8,S,a,o,m,i,14
208265,2309,8,P,h,n,g,u,13
208266,8815,8,S,a,o,m,i,21
208267,33143,8,S,a,o,m,i,18
208268,793,8,P,h,l,a,n,16
208269,2977,8,P,h,n,g,u,14
208270,22592,8,S,a,o,l,e,10
208271,2488,8,P,h,o,l,e,10
208272,81146,8,S,a,l,e,g,12
208273,472,8,C,h,n,g,u,17
208274,2921,8,P,h,n,g,u,13
208275,20952,8,S,a,o,m,i,18
208276,30285,8,S,a,o,m,i,13
208277,3068,8,C,h,n,g,u,17
208278,11673,8,S,a,o,l,e,10
208279,12333,8,M,e,l,e,g,12
208280,24705,8,S,a,l,a,n,12
208281,9261,8,S,a,l,e,g,15
208282,856,8,M,e,n,g,u,9
208283,23477,8,P,h,o,m,i,18
208284,19843,8,P,h,n,g,u,9
208285,103787,8,S,a,o,l,e,17
208286,10131,8,C,h,n,g,u,21
208287,40338,8,C,h,o,m,i,14
208288,27109,8,M,e,l,e,g,16
208289,48978,8,S,a,o,m,i,18
208290,22499,8,S,a,l,e,g,8
208291,18632,8,S,a,o,l,e,16
208292,993,8,P,h,n,g,u,6
208293,2303,8,P,h,n,g,u,8
208294,37571,8,P,h,n,g,u,12
208295,14694,8,P,h,n,g,u,9
208296,23611,8,S,a,l,e,g,12
208297,25838,8,S,a,l,a,n,7
208298,15528,8,S,a,o,m,i,12
208299,13926,8,P,h,n,g,u,8
208300,1018,8,M,e,o,m,i,7
208301,3818,8,S,a,o,l,e,5
208302,27169,8,S,a,l,e,g,9
208303,35121,8,P,h,n,g,u,22
208304,242621,8,P,h,n,g,u,8
208305,14696,8,M,e,o,l,e,4
208306,22625,8,S,a,l,e,g,20
208307,16732,8,S,a,o,m,i,6
208308,989,8,S,a,o,m,i,6
208309,16084,8,S,a,l,e,g,12
208310,96848,8,S,a,o,l,e,7
208311,13051,8,S,a,o,l,e,9
208312,36557,8,C,h,n,g,u,8
208313,74072,8,P,h,o,m,i,13
208314,13927,8,P,h,o,l,e,8
