index,per1,per2,per3,per4,per5
113369,0.7,0.95,0.84,0.73,0
113370,1.0,0.97,0.97,0.74,0
113371,0.62,0.95,0.95,0.98,0
113372,1.0,0.97,1.0,0.81,0
113373,0.96,0.92,0.92,0.96,0
113374,0.89,0.69,0.73,0.45,0
113375,1.0,0.87,0.74,0.83,0
113376,1.0,0.95,1.0,0.85,0
113377,0.94,1.0,1.0,1.0,0
113378,1.0,1.0,0.79,0.86,0
113379,0.8,0.67,0.93,1.0,0
113380,1.0,0.69,1.0,0.77,0
113381,1.0,1.0,1.0,0.93,0
113382,0.93,1.0,0.86,0.93,0
113383,1.0,0.91,1.0,0.91,0
113384,1.0,1.0,1.0,0.82,0
113385,0.91,1.0,1.0,0.91,0
113386,1.0,1.0,1.0,1.0,0
113387,1.0,0.8,1.0,0.8,0
113388,0.91,1.0,0.73,0.82,0
113389,0.6,1.0,1.0,1.0,0
113390,1.0,1.0,1.0,1.0,0
113391,0.67,1.0,1.0,0.89,0
113392,0.73,1.0,0.91,1.0,0
113393,1.0,1.0,0.67,1.0,0
113394,0.5,0.9,1.0,0.6,0
113395,1.0,1.0,1.0,1.0,0
113396,1.0,0.5,1.0,1.0,0
113397,0.5,0.67,0.58,0.67,0
113398,1.0,0.7,0.9,1.0,0
113399,1.0,0.71,1.0,1.0,0
113400,1.0,1.0,1.0,1.0,0
113401,1.0,1.0,0.88,0.88,0
113402,1.0,0.71,1.0,1.0,0
113403,1.0,0.89,1.0,0.89,0
113404,0.5,1.0,0.88,0.88,0
113405,1.0,1.0,0.5,0.9,0
113406,0.67,1.0,1.0,0.67,0
113407,1.0,1.0,1.0,1.0,0
113408,1.0,1.0,1.0,1.0,0
113409,1.0,0.5,0.83,0.83,0
113410,0.83,1.0,0.83,0.83,0
113411,1.0,1.0,1.0,1.0,0
113412,0.75,0.62,1.0,1.0,0
113413,0.67,1.0,1.0,1.0,0
113414,1.0,1.0,0.67,1.0,0
113415,0.8,1.0,0.8,0.6,0
113416,0.83,1.0,0.83,1.0,0
113417,0.83,1.0,0.83,1.0,0
113418,1.0,0.67,1.0,1.0,0
113419,1.0,1.0,1.0,1.0,0
113420,1.0,1.0,0.83,1.0,0
113421,1.0,0.83,0.83,1.0,0
113422,1.0,0.83,0.83,0.83,0
113423,1.0,1.0,1.0,1.0,0
113424,1.0,1.0,1.0,1.0,0
113425,0.6,1.0,0.8,0.8,0
113426,0.8,1.0,0.6,1.0,0
113427,1.0,1.0,0.8,1.0,0
113428,1.0,1.0,1.0,1.0,0
113429,1.0,0.75,1.0,1.0,0
113430,1.0,0.75,1.0,1.0,0
113431,1.0,1.0,1.0,1.0,0
113432,1.0,1.0,0.75,1.0,0
113433,1.0,1.0,1.0,1.0,0
113434,1.0,1.0,0.75,1.0,0
113435,1.0,1.0,1.0,0.6,0
113436,1.0,1.0,1.0,0.75,0
113437,1.0,1.0,1.0,0.75,0
113438,1.0,1.0,1.0,1.0,0
113439,1.0,0.75,1.0,0.75,0
113440,1.0,1.0,1.0,1.0,0
113441,1.0,1.0,1.0,1.0,0
113442,1.0,1.0,1.0,1.0,0
113443,1.0,1.0,1.0,1.0,0
113444,1.0,1.0,1.0,1.0,0
113445,1.0,1.0,1.0,1.0,0
113446,1.0,1.0,0.67,1.0,0
113447,1.0,1.0,0.75,1.0,0
113448,1.0,1.0,1.0,1.0,0
113449,1.0,1.0,1.0,1.0,0
113450,1.0,1.0,1.0,1.0,0
113451,1.0,1.0,1.0,1.0,0
113452,1.0,1.0,1.0,1.0,0
113453,0.75,1.0,0.75,1.0,0
113454,0.6,1.0,0.6,0.8,0
113455,0.67,1.0,1.0,0.67,0
113456,1.0,1.0,1.0,1.0,0
113457,1.0,1.0,1.0,1.0,0
113458,0.67,1.0,0.67,1.0,0
113459,1.0,1.0,1.0,1.0,0
113460,1.0,0.67,1.0,1.0,0
113461,1.0,1.0,1.0,1.0,0
113462,1.0,1.0,1.0,1.0,0
113463,1.0,0.75,1.0,1.0,0
113464,1.0,1.0,1.0,1.0,0
113465,1.0,1.0,1.0,1.0,0
113466,1.0,1.0,1.0,0.67,0
113467,1.0,1.0,1.0,1.0,0
113468,1.0,1.0,1.0,1.0,0
113469,1.0,1.0,1.0,1.0,0
113470,1.0,0.67,1.0,1.0,0
113471,1.0,1.0,1.0,1.0,0
113472,1.0,1.0,1.0,1.0,0
113473,0.67,1.0,1.0,1.0,0
113474,1.0,1.0,0.67,0.67,0
113475,1.0,1.0,0.67,0.67,0
113476,1.0,1.0,1.0,0.67,0
113477,1.0,1.0,1.0,0.75,0
113478,1.0,1.0,1.0,1.0,0
113479,1.0,1.0,1.0,0.67,0
113480,1.0,1.0,1.0,1.0,0
113481,1.0,1.0,1.0,1.0,0
113482,1.0,1.0,1.0,0.67,0
113483,1.0,1.0,1.0,1.0,0
113484,1.0,1.0,1.0,1.0,0
113485,1.0,1.0,1.0,1.0,0
113486,0.67,0.67,1.0,1.0,0
113487,1.0,1.0,1.0,1.0,0
113488,1.0,1.0,1.0,1.0,0
113489,1.0,1.0,1.0,0.5,0
113490,1.0,1.0,0.67,0.67,0
113491,1.0,1.0,1.0,1.0,0
113492,0.67,1.0,1.0,1.0,0
113493,1.0,1.0,1.0,1.0,0
113494,1.0,1.0,1.0,1.0,0
113495,1.0,0.67,1.0,1.0,0
113496,1.0,1.0,1.0,1.0,0
113497,0.75,1.0,1.0,1.0,0
113498,1.0,1.0,1.0,0.67,0
113499,1.0,0.67,1.0,1.0,0
113500,0.33,1.0,0.67,1.0,0
113501,1.0,1.0,1.0,1.0,0
113502,1.0,1.0,1.0,0.67,0
113503,0.67,1.0,0.33,0.67,0
113504,1.0,1.0,1.0,1.0,0
113505,1.0,1.0,1.0,1.0,0
113506,1.0,1.0,1.0,1.0,0
113507,1.0,1.0,1.0,1.0,0
113508,1.0,1.0,1.0,1.0,0
113509,1.0,1.0,1.0,1.0,0
113510,1.0,1.0,1.0,1.0,0
113511,1.0,1.0,1.0,1.0,0
113512,1.0,1.0,1.0,1.0,0
113513,1.0,1.0,1.0,1.0,0
113514,1.0,1.0,1.0,1.0,0
113515,1.0,1.0,1.0,1.0,0
113516,0.5,1.0,0.5,1.0,0
113517,1.0,1.0,1.0,1.0,0
113518,1.0,1.0,1.0,1.0,0
113519,1.0,1.0,1.0,1.0,0
113520,1.0,1.0,1.0,1.0,0
113521,1.0,1.0,1.0,1.0,0
113522,1.0,1.0,1.0,1.0,0
113523,1.0,1.0,0.67,1.0,0
113524,1.0,1.0,1.0,1.0,0
113525,1.0,1.0,1.0,1.0,0
113526,1.0,1.0,1.0,1.0,0
113527,1.0,1.0,1.0,1.0,0
113528,1.0,1.0,1.0,1.0,0
113529,1.0,1.0,1.0,1.0,0
113530,1.0,1.0,1.0,1.0,0
113531,1.0,1.0,1.0,1.0,0
113532,1.0,1.0,1.0,1.0,0
113533,1.0,1.0,1.0,1.0,0
113534,1.0,1.0,1.0,1.0,0
113535,0.33,0.33,0.67,0.67,0
113536,1.0,1.0,1.0,1.0,0
113537,1.0,1.0,1.0,1.0,0
113538,1.0,1.0,1.0,1.0,0
113539,0.67,0.33,0.33,0.33,0
113540,1.0,1.0,1.0,0.5,0
113541,1.0,1.0,1.0,1.0,0
113542,1.0,1.0,1.0,1.0,0
113543,1.0,1.0,1.0,1.0,0
113544,1.0,1.0,1.0,0.75,0
113545,0.5,1.0,0.5,0.5,0
113546,1.0,1.0,1.0,1.0,0
113547,1.0,1.0,1.0,1.0,0
113548,1.0,1.0,1.0,1.0,0
113549,1.0,1.0,1.0,1.0,0
113550,1.0,1.0,1.0,1.0,0
113551,1.0,1.0,1.0,1.0,0
113552,0.5,0.5,0.5,1.0,0
113553,1.0,1.0,1.0,1.0,0
113554,1.0,1.0,1.0,1.0,0
113555,1.0,1.0,1.0,1.0,0
113556,1.0,1.0,1.0,1.0,0
113557,1.0,1.0,1.0,1.0,0
113558,1.0,1.0,1.0,1.0,0
113559,1.0,1.0,1.0,1.0,0
113560,1.0,1.0,1.0,1.0,0
113561,1.0,1.0,1.0,1.0,0
113562,1.0,1.0,1.0,1.0,0
113563,1.0,1.0,1.0,1.0,0
113564,1.0,1.0,1.0,1.0,0
113565,1.0,1.0,1.0,1.0,0
113566,1.0,1.0,1.0,1.0,0
113567,1.0,1.0,1.0,1.0,0
113568,1.0,1.0,1.0,1.0,0
113569,1.0,0.5,1.0,1.0,0
113570,1.0,1.0,1.0,1.0,0
113571,1.0,1.0,1.0,1.0,0
113572,0.67,0.67,0.67,0.67,0
113573,1.0,1.0,1.0,1.0,0
113574,1.0,1.0,1.0,1.0,0
113575,1.0,1.0,1.0,1.0,0
113576,1.0,1.0,1.0,1.0,0
113577,1.0,1.0,1.0,1.0,0
113578,1.0,1.0,1.0,1.0,0
113579,1.0,1.0,1.0,1.0,0
113580,1.0,0.5,1.0,1.0,0
113581,1.0,0.5,0.75,0.5,0
113582,1.0,1.0,0.5,1.0,0
113583,0.75,0.75,1.0,0.75,0
113584,1.0,1.0,1.0,1.0,0
113585,1.0,1.0,1.0,1.0,0
113586,1.0,0.67,0.67,1.0,0
113587,1.0,1.0,1.0,1.0,0
113588,1.0,0.5,1.0,1.0,0
113589,1.0,1.0,1.0,1.0,0
113590,1.0,1.0,1.0,1.0,0
113591,1.0,1.0,1.0,1.0,0
113592,1.0,1.0,1.0,1.0,0
113593,1.0,1.0,1.0,1.0,0
113594,1.0,1.0,1.0,1.0,0
113595,1.0,1.0,1.0,1.0,0
113596,1.0,1.0,1.0,1.0,0
